"","choices","outcomes","exp_weights"
"1","blue",1,1.02282919035495
"2","orange",0,1.02282919035495
"3","orange",0,1.23350362287209
"4","orange",0,1.28159889010064
"5","orange",0,1.29257865020796
"6","orange",0,1.29508524054338
"7","orange",1,1.29565747482247
"8","orange",0,1.29578811127532
"9","orange",0,1.29581793451982
"10","orange",0,1.29582474292507
"11","orange",0,1.29582629722887
"12","orange",0,1.29582665206384
"13","orange",0,1.29582673306979
"14","orange",0,1.29582675156279
"15","orange",0,1.2958267557846
"16","orange",1,1.2958267567484
"17","orange",0,1.29582675696843
"18","orange",0,1.29582675701866
"19","orange",1,1.29582675703013
"20","blue",1,1.23350362287209
"21","orange",0,1.29582675703274
"22","orange",1,1.29582675703334
"23","blue",1,1.28159889010064
"24","orange",0,1.29582675703348
"25","orange",0,1.29582675703351
"26","orange",0,1.29582675703352
"27","orange",0,1.29582675703352
"28","orange",0,1.29582675703352
"29","orange",0,1.29582675703352
"30","orange",0,1.29582675703352
"31","orange",0,1.29582675703352
"32","orange",0,1.29582675703352
"33","orange",0,1.29582675703352
"34","orange",0,1.29582675703352
"35","orange",1,1.29582675703352
"36","orange",0,1.29582675703352
"37","orange",0,1.29582675703352
"38","orange",0,1.29582675703352
"39","orange",0,1.29582675703352
"40","orange",0,1.29582675703352
"41","orange",0,1.29582675703352
"42","orange",0,1.29582675703352
"43","orange",0,1.29582675703352
"44","orange",0,1.29582675703352
"45","orange",0,1.29582675703352
"46","orange",0,1.29582675703352
"47","orange",0,1.29582675703352
"48","orange",0,1.29582675703352
"49","orange",0,1.29582675703352
"50","orange",0,1.29582675703352
